nombre_region,cantidad_ocupados,ingreso_promedio,tasa_asalariados,edad_promedio
Patagonia,477119,806273.3064465083,78.49949383696729,40.55621553532767
Gran Buenos Aires,7305787,655877.3963066721,74.15305154667115,41.44052680429911
Pampeana,2896163,585128.2246953659,72.14687156765693,41.26068905652065
Cuyo,837050,462909.159726611,69.06624454931007,41.16579535272684
NOA,1237347,402196.1530025498,71.1465740814824,40.39541858508567
NEA,614574,380362.8102306767,69.42337293800259,40.685312102366844
