categoria,Mujer,Varón,brecha_porcentaje
Cuenta propia,332431.3369795397,522178.9120673864,36.33765567755445
Obrero/empleado,535546.8173800573,730567.0602009979,26.694365711928686
Patrón,1176262.2953941668,1143862.0198604385,-2.832533554849686
